date,subcat,store,oos_desc,sub_desc,algo_strength,feedback
27-06-2026,Sliced Cheese,Jahra,Kerrygold Sliced Cheddar Cheese - 150g,Almarai Low Fat Cheddar Cheese Slices - 200g,STRONG,wrong_substitute
27-06-2026,Sliced Cheese,Jahra,Kerrygold Red Cheddar Cheese Block - 200g,Almarai Low Fat Cheddar Cheese Slices - 200g,STRONG,wrong_substitute
27-06-2026,Sliced Cheese,Jahra,Kerrygold Sliced Red Cheddar Cheese - 150g,Almarai Low Fat Cheddar Cheese Slices - 200g,STRONG,wrong_substitute
29-06-2026,BOXES, BAGS & PACKS,Jahra,Kitco Nice Paprika Potato Chips Box - 20 x 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,DIRECT,wrong_substitute
30-06-2026,CREAM & BUTTER,Jahra,,,,wrong_substitute
01-07-2026,ICE CREAM STICKS,Jahra,KDD Orange Lolly - 62.5ml,Kdcow Funny Face Ice Cream Stick - 60ml,STRONG,wrong_substitute
01-07-2026,CREAM & BUTTER,Qurtuba,,,,wrong_substitute
02-07-2026,ICE CREAM STICKS,Qurtuba,KDD Lulu Vanilla Ice Cream - 62.5g,Almarai Ice Cream Stick Salted Caramel - 90ml,STRONG,wrong_substitute
02-07-2026,ICE CREAM STICKS,Qurtuba,KDD Lulu Vanilla Ice Cream - 62.5g,Almarai Ice Cream Stick Salted Caramel - 90ml,STRONG,wrong_substitute
02-07-2026,ICE CREAM STICKS,Qurtuba,KDD Lulu Vanilla Ice Cream - 62.5g,Almarai Ice Cream Stick Salted Caramel - 90ml,STRONG,wrong_substitute
02-07-2026,ICE CREAM STICKS,Sabah Salem,KDD Lulu Vanilla Ice Cream - 62.5g,Almarai Ice Cream Stick Salted Caramel - 90ml,STRONG,wrong_substitute
04-07-2026,POTATO CHIPS,Qurtuba,FICO Sweet & Sour Potato Chips - 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
04-07-2026,POTATO CHIPS,Qurtuba,FICO Sweet & Sour Potato Chips - 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
04-07-2026,POTATO CHIPS,Qurtuba,FICO Sweet & Sour Potato Chips - 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
04-07-2026,POTATO CHIPS,Qurtuba,FICO Sweet & Sour Potato Chips - 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
04-07-2026,POTATO CHIPS,Qurtuba,FICO Sweet & Sour Potato Chips - 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
04-07-2026,POTATO CHIPS,Qurtuba,FICO Sweet & Sour Potato Chips - 22g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
05-07-2026,POTATO CHIPS,Jahra,Chips Oman Chili Potato Chips - 37g,Hectare’s A Touch Of Sea Salt Potato Chips - ,STRONG,wrong_substitute
14-07-2026,CREAM & BUTTER,Jahra,,,,wrong_substitute
16-07-2026,POTATO CHIPS,Jahra,,,,wrong_substitute
16-07-2026,CREAM & BUTTER,Qurtuba,,,,wrong_substitute
16-07-2026,POTATO CHIPS,Jahra,,,,wrong_substitute
