item_id,store_norm,l7_units
24331,Qurtuba,1
24334,Jahra,2
24334,Qurtuba,16
24334,Sabah Salem,14
24335,Jahra,1
24335,Qurtuba,6
24335,Sabah Salem,6
24336,Jahra,2
24340,Jahra,1
24340,Qurtuba,3
24340,Sabah Salem,3
24347,Qurtuba,1
24349,Qurtuba,4
24349,Sabah Salem,7
24350,Qurtuba,2
24352,Qurtuba,3
24352,Sabah Salem,4
24354,Jahra,1
24355,Jahra,1
24355,Qurtuba,4
24355,Sabah Salem,11
24358,Jahra,1
24358,Qurtuba,8
24358,Sabah Salem,11
24361,Sabah Salem,1
24365,Jahra,1
24367,Qurtuba,3
24367,Sabah Salem,1
24368,Qurtuba,4
24368,Sabah Salem,3
24369,Jahra,1
24369,Qurtuba,3
24369,Sabah Salem,3
24374,Jahra,5
24374,Qurtuba,21
24374,Sabah Salem,25
24376,Sabah Salem,7
24377,Qurtuba,21
24377,Sabah Salem,16
24380,Jahra,3
24380,Qurtuba,11
24380,Sabah Salem,13
24382,Qurtuba,13
24382,Sabah Salem,11
24384,Qurtuba,1
24384,Sabah Salem,4
24387,Qurtuba,1
24388,Qurtuba,1
24389,Qurtuba,3
24389,Sabah Salem,6
24395,Qurtuba,2
24395,Sabah Salem,2
24397,Jahra,1
24397,Qurtuba,4
24397,Sabah Salem,12
24406,Jahra,9
24406,Qurtuba,53
24406,Sabah Salem,63
24409,Jahra,11
24409,Qurtuba,76
24409,Sabah Salem,104
24410,Jahra,7
24410,Qurtuba,34
24410,Sabah Salem,59
24411,Jahra,1
24411,Qurtuba,12
24411,Sabah Salem,21
24412,Jahra,2
24412,Qurtuba,14
24412,Sabah Salem,17
24413,Qurtuba,13
24413,Sabah Salem,9
24428,Qurtuba,4
24428,Sabah Salem,7
24429,Qurtuba,2
24429,Sabah Salem,5
24430,Qurtuba,6
24430,Sabah Salem,3
24433,Qurtuba,1
24435,Qurtuba,1
24435,Sabah Salem,3
24437,Jahra,3
24437,Qurtuba,30
24437,Sabah Salem,28
24439,Qurtuba,3
24440,Qurtuba,1
24440,Sabah Salem,1
24442,Jahra,5
24442,Qurtuba,25
24442,Sabah Salem,27
24443,Jahra,4
24443,Qurtuba,34
24443,Sabah Salem,40
24445,Qurtuba,5
24445,Sabah Salem,2
24447,Sabah Salem,1
24449,Qurtuba,1
24450,Jahra,3
24450,Qurtuba,2
24450,Sabah Salem,4
24451,Jahra,1
24451,Qurtuba,2
24451,Sabah Salem,3
24452,Qurtuba,7
24452,Sabah Salem,4
24453,Qurtuba,3
24453,Sabah Salem,5
24454,Qurtuba,1
24454,Sabah Salem,1
24459,Sabah Salem,2
24465,Jahra,7
24465,Qurtuba,40
24465,Sabah Salem,34
24466,Jahra,1
24466,Qurtuba,10
24466,Sabah Salem,9
24468,Qurtuba,3
24468,Sabah Salem,4
24469,Qurtuba,4
24469,Sabah Salem,6
24470,Qurtuba,1
24475,Sabah Salem,1
24477,Jahra,1
24477,Qurtuba,6
24477,Sabah Salem,10
24478,Jahra,1
24478,Qurtuba,8
24478,Sabah Salem,8
24479,Qurtuba,1
24487,Jahra,1
24487,Qurtuba,5
24487,Sabah Salem,5
24492,Qurtuba,5
24492,Sabah Salem,10
24493,Sabah Salem,1
24498,Jahra,1
24498,Qurtuba,1
24498,Sabah Salem,2
24502,Qurtuba,6
24502,Sabah Salem,2
24503,Qurtuba,3
24503,Sabah Salem,2
24509,Jahra,1
24509,Sabah Salem,2
24510,Jahra,5
24510,Qurtuba,25
24510,Sabah Salem,46
24512,Sabah Salem,1
24513,Qurtuba,3
24513,Sabah Salem,3
24517,Qurtuba,3
24517,Sabah Salem,3
24518,Qurtuba,10
24518,Sabah Salem,10
24520,Jahra,3
24520,Qurtuba,6
24520,Sabah Salem,9
24521,Jahra,1
24521,Qurtuba,6
24521,Sabah Salem,4
24524,Sabah Salem,1
24537,Qurtuba,12
24537,Sabah Salem,10
24540,Qurtuba,3
24540,Sabah Salem,6
24545,Qurtuba,1
24545,Sabah Salem,4
24546,Sabah Salem,1
24549,Sabah Salem,1
24552,Qurtuba,7
24552,Sabah Salem,10
24553,Qurtuba,7
24553,Sabah Salem,7
24555,Sabah Salem,4
24561,Jahra,5
24561,Qurtuba,3
24561,Sabah Salem,10
24568,Jahra,3
24568,Qurtuba,9
24568,Sabah Salem,11
24577,Qurtuba,4
24577,Sabah Salem,4
24578,Qurtuba,1
24585,Qurtuba,1
24585,Sabah Salem,4
24588,Sabah Salem,1
24589,Jahra,1
24589,Qurtuba,10
24594,Jahra,4
24594,Qurtuba,56
24594,Sabah Salem,37
24595,Jahra,2
24595,Sabah Salem,2
24619,Qurtuba,1
24619,Sabah Salem,1
24620,Qurtuba,4
24621,Jahra,17
24621,Qurtuba,83
24621,Sabah Salem,139
24624,Jahra,1
24627,Qurtuba,2
24627,Sabah Salem,6
24629,Qurtuba,3
24631,Jahra,1
24631,Qurtuba,3
24631,Sabah Salem,5
24634,Sabah Salem,3
24644,Jahra,3
24644,Qurtuba,8
24644,Sabah Salem,16
24653,Sabah Salem,2
24655,Qurtuba,2
24655,Sabah Salem,3
24674,Sabah Salem,1
24678,Jahra,2
24678,Qurtuba,1
24678,Sabah Salem,27
24682,Qurtuba,11
24682,Sabah Salem,12
24685,Qurtuba,1
24692,Qurtuba,4
24692,Sabah Salem,5
24693,Qurtuba,5
24693,Sabah Salem,6
24702,Sabah Salem,5
24704,Qurtuba,1
24714,Sabah Salem,2
24715,Jahra,5
24715,Qurtuba,17
24715,Sabah Salem,12
24720,Sabah Salem,2
24725,Qurtuba,2
24725,Sabah Salem,1
24727,Qurtuba,1
24727,Sabah Salem,2
24731,Sabah Salem,1
24733,Sabah Salem,5
24736,Sabah Salem,2
24740,Sabah Salem,4
24742,Qurtuba,2
24747,Qurtuba,11
24747,Sabah Salem,4
24753,Qurtuba,8
24754,Jahra,1
24754,Qurtuba,1
24754,Sabah Salem,3
24755,Sabah Salem,1
24758,Qurtuba,2
24758,Sabah Salem,3
24759,Jahra,1
24759,Qurtuba,3
24759,Sabah Salem,1
24760,Qurtuba,3
24760,Sabah Salem,5
24761,Jahra,1
24762,Jahra,1
24773,Jahra,1
24773,Qurtuba,9
24773,Sabah Salem,17
24774,Qurtuba,2
24774,Sabah Salem,2
24784,Qurtuba,4
24784,Sabah Salem,2
24787,Qurtuba,2
24789,Jahra,1
24789,Qurtuba,2
24789,Sabah Salem,3
24794,Jahra,1
24794,Qurtuba,3
24794,Sabah Salem,3
24796,Sabah Salem,2
24798,Sabah Salem,4
24800,Sabah Salem,3
24801,Qurtuba,4
24801,Sabah Salem,2
24805,Qurtuba,10
24805,Sabah Salem,10
24806,Jahra,5
24806,Qurtuba,6
24806,Sabah Salem,4
24810,Qurtuba,2
24811,Sabah Salem,1
24839,Jahra,2
24839,Qurtuba,9
24839,Sabah Salem,12
24856,Jahra,1
24856,Qurtuba,7
24856,Sabah Salem,7
24858,Qurtuba,4
24858,Sabah Salem,10
24883,Sabah Salem,2
24884,Qurtuba,3
24895,Sabah Salem,1
24916,Qurtuba,2
24916,Sabah Salem,2
24923,Qurtuba,3
24923,Sabah Salem,2
24925,Qurtuba,1
24938,Sabah Salem,1
24940,Jahra,1
24940,Qurtuba,1
24942,Jahra,1
24942,Qurtuba,2
24942,Sabah Salem,2
24944,Qurtuba,2
24944,Sabah Salem,1
24953,Sabah Salem,2
24954,Qurtuba,1
24954,Sabah Salem,4
24957,Qurtuba,4
24957,Sabah Salem,10
24967,Qurtuba,1
24977,Qurtuba,1
24977,Sabah Salem,1
24987,Qurtuba,7
24987,Sabah Salem,5
24996,Sabah Salem,2
24999,Qurtuba,5
24999,Sabah Salem,6
25000,Qurtuba,3
25000,Sabah Salem,9
25002,Jahra,2
25002,Qurtuba,12
25002,Sabah Salem,8
25003,Jahra,1
25003,Qurtuba,2
25003,Sabah Salem,2
25007,Qurtuba,5
25007,Sabah Salem,12
25016,Sabah Salem,1
25022,Sabah Salem,2
25024,Sabah Salem,1
25030,Qurtuba,2
25030,Sabah Salem,1
25035,Sabah Salem,3
25036,Qurtuba,2
25036,Sabah Salem,1
25057,Jahra,1
25057,Qurtuba,2
25074,Qurtuba,10
25074,Sabah Salem,4
25075,Qurtuba,8
25079,Qurtuba,1
25079,Sabah Salem,1
25089,Jahra,1
25090,Sabah Salem,3
25091,Qurtuba,1
25091,Sabah Salem,5
25092,Qurtuba,1
25095,Qurtuba,7
25095,Sabah Salem,4
25100,Jahra,2
25100,Qurtuba,1
25100,Sabah Salem,2
25102,Jahra,1
25102,Qurtuba,2
25102,Sabah Salem,4
25103,Qurtuba,4
25103,Sabah Salem,4
25106,Qurtuba,2
25106,Sabah Salem,3
25107,Qurtuba,1
25107,Sabah Salem,1
25108,Jahra,1
25108,Qurtuba,5
25108,Sabah Salem,2
25109,Qurtuba,9
25113,Jahra,1
25113,Sabah Salem,2
25117,Qurtuba,1
25125,Qurtuba,5
25125,Sabah Salem,1
25126,Jahra,1
25126,Sabah Salem,3
25134,Qurtuba,13
25134,Sabah Salem,23
25135,Qurtuba,2
25135,Sabah Salem,2
25137,Sabah Salem,1
25160,Sabah Salem,2
25167,Qurtuba,1
25173,Qurtuba,2
25176,Jahra,3
25176,Qurtuba,2
25176,Sabah Salem,1
25182,Jahra,1
25182,Qurtuba,12
25182,Sabah Salem,10
25183,Qurtuba,2
25183,Sabah Salem,2
25186,Qurtuba,5
25186,Sabah Salem,3
25187,Sabah Salem,3
25188,Qurtuba,3
25188,Sabah Salem,1
25189,Qurtuba,12
25189,Sabah Salem,8
25201,Qurtuba,2
25201,Sabah Salem,3
25204,Sabah Salem,3
25215,Qurtuba,2
25215,Sabah Salem,3
25216,Jahra,1
25216,Sabah Salem,2
25218,Jahra,4
25218,Qurtuba,2
25218,Sabah Salem,8
25219,Qurtuba,2
25220,Qurtuba,2
25220,Sabah Salem,4
25239,Qurtuba,2
25239,Sabah Salem,5
25240,Qurtuba,2
25240,Sabah Salem,4
25246,Sabah Salem,1
25247,Jahra,1
25247,Qurtuba,5
25247,Sabah Salem,4
25248,Jahra,1
25248,Qurtuba,4
25248,Sabah Salem,5
25258,Sabah Salem,1
25259,Qurtuba,2
25261,Qurtuba,16
25261,Sabah Salem,9
25262,Qurtuba,8
25262,Sabah Salem,3
25263,Jahra,2
25263,Qurtuba,1
25263,Sabah Salem,8
25269,Qurtuba,5
25269,Sabah Salem,5
25273,Qurtuba,2
25273,Sabah Salem,1
25280,Jahra,1
25280,Qurtuba,2
25280,Sabah Salem,1
25281,Qurtuba,5
25282,Sabah Salem,1
25292,Qurtuba,2
25296,Qurtuba,1
