item_id,net_ytd
24331,137
24334,184
24335,67
24336,1149
24337,21
24338,19
24340,79
24347,75
24349,144
24350,98
24352,82
24353,6
24354,104
24355,167
24358,312
24360,45
24361,29
24365,145
24367,55
24368,233
24369,311
24371,180
24374,1409
24376,155
24377,683
24379,59
24380,556
24382,541
24384,106
24387,32
24388,25
24389,270
24391,18
24394,49
24395,5
24397,210
24398,127
24399,441
24402,17
24406,2088
24409,3679
24410,1920
24411,843
24412,511
24413,280
24415,13
24417,27
24428,174
24429,107
24430,252
24432,6
24433,26
24434,2
24435,95
24437,1759
24438,7
24439,97
24440,12
24442,1337
24443,1542
24444,13
24445,169
24447,54
24449,21
24450,223
24451,317
24452,341
24453,165
24454,62
24458,33
24459,30
24462,46
24465,2033
24466,442
24467,313
24468,196
24469,325
24470,58
24474,308
24475,45
24477,300
24478,170
24479,78
24481,11
24487,213
24489,67
24490,24
24492,204
24493,46
24494,25
24496,56
24498,92
24499,13
24502,56
24503,87
24504,130
24505,366
24507,245
24508,103
24509,61
24510,311
24512,38
24513,47
24514,33
24515,15
24517,250
24518,299
24520,593
24521,254
24524,7
24528,21
24537,42
24540,55
24542,4
24543,5
24545,31
24546,35
24549,12
24550,20
24552,578
24553,357
24555,130
24561,311
24564,61
24568,373
24575,16
24577,94
24578,14
24582,33
24585,42
24587,40
24588,25
24589,249
24594,1024
24595,123
24602,24
24606,51
24614,147
24619,97
24620,129
24621,475
24624,85
24625,47
24626,33
24627,157
24629,40
24631,40
24632,20
24633,6
24634,4
24641,228
24644,750
24646,6
24647,8
24650,53
24651,28
24653,52
24654,30
24655,285
24662,4
24674,19
24675,21
24678,691
24680,39
24682,271
24685,53
24692,88
24693,358
24702,182
24704,37
24705,27
24709,28
24710,11
24714,45
24715,1356
24716,8
24717,19
24718,12
24720,74
24723,1159
24724,26
24725,93
24727,24
24731,27
24733,142
24736,11
24739,59
24740,155
24742,26
24745,91
24746,305
24747,310
24749,87
24753,79
24754,80
24755,35
24757,47
24758,38
24759,223
24760,186
24761,23
24762,101
24768,71
24769,23
24772,116
24773,527
24774,80
24775,9
24776,8
24778,111
24779,61
24784,96
24786,21
24787,139
24789,83
24794,138
24796,27
24797,15
24798,11
24800,89
24801,176
24804,42
24805,170
24806,258
24810,68
24811,40
24834,49
24839,150
24840,37
24856,298
24857,33
24858,178
24881,40
24883,57
24884,81
24895,50
24900,8
24916,79
24923,105
24925,87
24938,28
24940,30
24942,130
24944,34
24949,53
24951,25
24952,27
24953,58
24954,127
24955,63
24957,376
24961,6
24964,16
24967,5
24968,28
24969,33
24971,125
24972,32
24975,72
24977,65
24979,7
24987,396
24989,27
24990,16
24992,77
24993,96
24996,170
24999,19
25000,130
25001,19
25002,377
25003,62
25007,158
25010,32
25014,45
25016,18
25018,21
25019,9
25022,47
25024,17
25027,124
25028,5
25030,57
25031,13
25032,13
25035,223
25036,13
25042,146
25046,32
25050,13
25057,59
25063,4
25074,101
25075,240
25079,27
25087,4
25089,9
25090,82
25091,180
25092,17
25095,294
25100,168
25101,457
25102,115
25103,177
25104,2
25106,49
25107,19
25108,192
25109,402
25112,67
25113,125
25115,15
25117,27
25118,19
25123,7
25125,31
25126,13
25130,20
25134,467
25135,121
25137,80
25160,33
25161,25
25162,67
25163,113
25167,57
25168,30
25173,28
25176,1622
25180,68
25182,260
25183,28
25186,25
25187,50
25188,51
25189,181
25197,16
25200,19
25201,73
25202,15
25204,52
25206,56
25211,204
25215,69
25216,37
25217,51
25218,348
25219,36
25220,110
25223,20
25228,74
25231,53
25234,39
25236,2
25239,111
25240,104
25246,163
25247,388
25248,160
25249,6
25254,10
25258,100
25259,90
25261,389
25262,178
25263,228
25264,22
25269,228
25272,5
25273,31
25276,3
25280,50
25281,51
25282,11
25284,69
25285,1
25290,16
25292,37
25293,11
25295,3
25296,28
25297,25
25298,8
25303,60
25308,4
25310,119
25316,29
25317,5
25321,2
25325,61
25334,4
25340,45
25343,27
25344,28
25348,50
25352,13
25354,360
25355,10
25356,19
25359,12
25360,14
25361,147
25362,166
25364,733
25365,27
25369,41
25377,104
25378,48
25380,16
25381,148
25385,301
25386,507
25390,157
25393,47
25394,174
25395,27
25398,648
25399,1117
25400,113
25401,211
25402,106
25403,479
25405,442
25406,151
25408,50
25410,565
25412,40
25415,133
25416,7
25417,52
25419,101
25422,190
25428,163
25431,429
25435,35
25436,65
25438,1604
25439,82
25446,24
25448,74
25452,69
25454,170
25455,1086
25456,228
25457,208
25458,1
25459,35
25461,68
25462,80
25463,25
25464,44
25465,47
25466,119
25468,11
25469,13
25471,65
25472,269
25473,1436
25474,721
25475,571
25476,84
25477,211
25478,2
25481,71
25482,40
25485,136
25486,69
25487,21
25488,40
25489,558
25490,2055
25491,122
25494,79
25495,74
25496,93
25497,14
25498,16
25502,35
25504,674
25507,56
25509,235
25510,169
25511,3093
25513,79
25516,63
25521,482
25522,12
25524,303
25526,77
25529,844
25532,79
25533,66
25535,43
25540,375
25541,125
25543,348
25544,358
25545,307
25547,30
25551,198
25552,39
25556,19
25557,4
25560,33
25561,5
25571,53
25574,82
25577,456
25580,358
25584,231
25585,69
25593,79
25598,41
25599,119
25600,80
25601,61
25602,8
25608,25
25611,11
25612,2
25613,7
25615,55
25626,40
25636,25
25637,81
25638,6
25640,55
25641,70
25642,36
25645,173
25646,43
25649,75
25650,53
25654,207
25656,128
25657,28
25659,570
25661,59
25662,54
25664,189
25665,21
25666,2089
25667,3
25668,38
25669,119
25672,82
25674,20
25675,8
25677,257
25685,16
25687,60
25689,88
25690,82
25695,48
25699,918
25701,12
25702,20
25708,47
25715,317
25718,291
25720,22
25727,115
25728,547
25729,28
25731,53
25732,48
25733,57
25737,194
25743,32
25744,51
25752,153
25754,72
25759,51
25760,20
25762,43
25763,124
25765,60
25766,349
25769,24
25773,35
25774,49
25776,45
25779,173
25784,111
25786,35
25788,12
25789,166
25794,43
25798,195
25802,149
25809,72
25812,12
25816,15
25818,49
25821,77
25823,227
25824,14
25828,9
25831,48
25851,59
25860,12
25861,20
25862,52
25883,164
25884,15
25890,111
25892,55
25909,87
25912,3
25914,19
25937,124
25940,241
25941,194
25943,2
25944,130
25948,504
25955,36
25957,13
25958,41
25962,166
25964,14
25965,20
25967,19
25970,74
25977,66
25980,88
25983,23
25984,140
25985,41
25988,308
25989,34
25990,9
25993,374
25996,13
25997,1
26004,61
26013,102
26028,18
26031,27
26032,19
26036,28
26038,37
26040,72
26044,17
26045,45
26047,82
26048,32
26049,29
26051,81
26052,121
26054,155
26058,110
26059,16
26060,35
26061,72
26065,32
26069,10
26086,216
26087,9
26088,27
26089,16
26091,19
26094,23
26096,21
26097,54
26100,43
26107,23
26119,20
26120,3
26122,6
26124,10
26126,23
26128,36
26129,18
26130,17
26132,10
26133,1
26137,29
26138,22
26141,7
26142,82
26143,47
26144,1
26147,23
26154,5
26155,19
26156,442
26164,82
26166,236
26177,7
26180,21
26181,17
26184,67
26185,20
26188,69
26196,23
26197,2
26200,83
26201,80
26203,1308
26204,240
26205,149
26206,27
26211,133
26215,31
26218,123
26237,68
26241,28
26242,13
26243,52
26244,80
26245,6
26246,9
26247,48
26252,44
26253,45
26254,86
26255,334
26257,249
26258,914
26259,39
26260,41
26261,147
26263,158
26264,192
26265,115
26267,63
26268,2
26269,40
26270,178
26272,56
26273,132
26276,86
26277,159
26279,70
26282,226
26284,22
26287,31
26288,11
26290,19
26294,46
26295,3
26296,3
26299,68
26300,306
26304,9
26305,28
26307,72
26308,4
26309,4
26310,41
26311,121
26312,21
26315,37
26318,161
26319,224
26336,24
26337,78
26339,9
26340,186
26343,2
26347,22
26352,38
26354,269
26357,180
26362,1
26366,192
26368,75
26369,86
26370,90
26371,39
26372,21
26376,42
26382,441
26383,79
26385,42
26387,97
26389,141
26391,159
26392,5
26393,298
