item_id,store_norm,ytd_units,ytd_days,true_daily
24331,Jahra,23,20,1.15
24331,Qurtuba,56,40,1.4
24331,Sabah Salem,58,36,1.6111111111111112
24334,Jahra,6,5,1.2
24334,Qurtuba,86,62,1.3870967741935485
24334,Sabah Salem,92,65,1.4153846153846155
24335,Jahra,2,2,1.0
24335,Qurtuba,28,26,1.0769230769230769
24335,Sabah Salem,37,31,1.1935483870967742
24336,Jahra,105,72,1.4583333333333333
24336,Qurtuba,419,113,3.7079646017699117
24336,Sabah Salem,625,112,5.580357142857143
24337,Qurtuba,7,7,1.0
24337,Sabah Salem,14,14,1.0
24338,Jahra,1,1,1.0
24338,Qurtuba,3,3,1.0
24338,Sabah Salem,15,14,1.0714285714285714
24340,Jahra,5,5,1.0
24340,Qurtuba,24,22,1.0909090909090908
24340,Sabah Salem,50,34,1.4705882352941178
24347,Jahra,4,4,1.0
24347,Qurtuba,24,23,1.0434782608695652
24347,Sabah Salem,47,43,1.0930232558139534
24349,Jahra,4,4,1.0
24349,Qurtuba,63,47,1.3404255319148937
24349,Sabah Salem,77,57,1.3508771929824561
24350,Jahra,3,3,1.0
24350,Qurtuba,51,44,1.1590909090909092
24350,Sabah Salem,44,36,1.2222222222222223
24352,Jahra,1,1,1.0
24352,Qurtuba,39,35,1.1142857142857143
24352,Sabah Salem,42,38,1.105263157894737
24353,Qurtuba,2,2,1.0
24353,Sabah Salem,4,4,1.0
24354,Jahra,12,12,1.0
24354,Qurtuba,46,38,1.2105263157894737
24354,Sabah Salem,46,34,1.3529411764705883
24355,Jahra,8,8,1.0
24355,Qurtuba,67,54,1.2407407407407407
24355,Sabah Salem,92,70,1.3142857142857143
24358,Jahra,26,25,1.04
24358,Qurtuba,106,83,1.2771084337349397
24358,Sabah Salem,180,107,1.6822429906542056
24360,Qurtuba,20,18,1.1111111111111112
24360,Sabah Salem,25,23,1.0869565217391304
24361,Jahra,2,2,1.0
24361,Qurtuba,11,11,1.0
24361,Sabah Salem,16,16,1.0
24365,Jahra,8,8,1.0
24365,Qurtuba,66,47,1.4042553191489362
24365,Sabah Salem,71,53,1.3396226415094339
24367,Jahra,2,2,1.0
24367,Qurtuba,20,20,1.0
24367,Sabah Salem,33,32,1.03125
24368,Jahra,19,18,1.0555555555555556
24368,Qurtuba,90,71,1.267605633802817
24368,Sabah Salem,124,93,1.3333333333333333
24369,Jahra,13,11,1.1818181818181819
24369,Qurtuba,109,70,1.5571428571428572
24369,Sabah Salem,189,102,1.8529411764705883
24371,Jahra,22,21,1.0476190476190477
24371,Qurtuba,66,48,1.375
24371,Sabah Salem,92,52,1.7692307692307692
24374,Jahra,133,92,1.4456521739130435
24374,Qurtuba,618,158,3.911392405063291
24374,Sabah Salem,658,152,4.328947368421052
24376,Qurtuba,95,61,1.5573770491803278
24376,Sabah Salem,60,39,1.5384615384615385
24377,Jahra,26,24,1.0833333333333333
24377,Qurtuba,300,118,2.542372881355932
24377,Sabah Salem,357,138,2.5869565217391304
24379,Jahra,7,7,1.0
24379,Qurtuba,21,20,1.05
24379,Sabah Salem,31,28,1.1071428571428572
24380,Jahra,49,45,1.0888888888888888
24380,Qurtuba,212,117,1.811965811965812
24380,Sabah Salem,295,135,2.185185185185185
24382,Jahra,54,47,1.148936170212766
24382,Qurtuba,156,100,1.56
24382,Sabah Salem,331,138,2.398550724637681
24384,Jahra,8,8,1.0
24384,Qurtuba,30,28,1.0714285714285714
24384,Sabah Salem,68,52,1.3076923076923077
24387,Jahra,2,1,2.0
24387,Qurtuba,15,12,1.25
24387,Sabah Salem,15,12,1.25
24388,Qurtuba,13,13,1.0
24388,Sabah Salem,12,12,1.0
24389,Jahra,19,19,1.0
24389,Qurtuba,119,77,1.5454545454545454
24389,Sabah Salem,132,89,1.4831460674157304
24391,Jahra,2,2,1.0
24391,Qurtuba,6,6,1.0
24391,Sabah Salem,10,10,1.0
24394,Jahra,5,5,1.0
24394,Qurtuba,19,17,1.1176470588235294
24394,Sabah Salem,25,20,1.25
24395,Qurtuba,3,3,1.0
24395,Sabah Salem,2,2,1.0
24397,Jahra,14,13,1.0769230769230769
24397,Qurtuba,67,57,1.1754385964912282
24397,Sabah Salem,129,84,1.5357142857142858
24398,Jahra,9,8,1.125
24398,Qurtuba,34,30,1.1333333333333333
24398,Sabah Salem,84,63,1.3333333333333333
24399,Jahra,39,29,1.3448275862068966
24399,Qurtuba,203,74,2.7432432432432434
24399,Sabah Salem,199,80,2.4875
24402,Jahra,2,2,1.0
24402,Qurtuba,9,8,1.125
24402,Sabah Salem,6,5,1.2
24406,Jahra,116,71,1.6338028169014085
24406,Qurtuba,966,132,7.318181818181818
24406,Sabah Salem,1006,137,7.343065693430657
24409,Jahra,235,120,1.9583333333333333
24409,Qurtuba,1418,170,8.341176470588236
24409,Sabah Salem,2026,168,12.05952380952381
24410,Jahra,157,99,1.5858585858585859
24410,Qurtuba,740,170,4.352941176470588
24410,Sabah Salem,1023,174,5.879310344827586
24411,Jahra,55,51,1.0784313725490196
24411,Qurtuba,329,146,2.2534246575342465
24411,Sabah Salem,459,159,2.8867924528301887
24412,Jahra,35,33,1.0606060606060606
24412,Qurtuba,219,118,1.8559322033898304
24412,Sabah Salem,257,123,2.089430894308943
24413,Jahra,16,16,1.0
24413,Qurtuba,146,77,1.896103896103896
24413,Sabah Salem,118,73,1.6164383561643836
24415,Jahra,2,2,1.0
24415,Qurtuba,6,6,1.0
24415,Sabah Salem,5,5,1.0
24417,Jahra,1,1,1.0
24417,Qurtuba,13,13,1.0
24417,Sabah Salem,13,13,1.0
24428,Jahra,2,2,1.0
24428,Qurtuba,86,66,1.303030303030303
24428,Sabah Salem,86,69,1.2463768115942029
24429,Jahra,1,1,1.0
24429,Qurtuba,29,28,1.0357142857142858
24429,Sabah Salem,77,65,1.1846153846153846
24430,Jahra,2,2,1.0
24430,Qurtuba,138,98,1.4081632653061225
24430,Sabah Salem,112,82,1.3658536585365855
24432,Jahra,1,1,1.0
24432,Qurtuba,3,3,1.0
24432,Sabah Salem,2,1,2.0
